ogr_DogID,foodtype,exercisetype,status
17485,iams lamb and rice,walks  playing with toys,0.0
17476,iams,running     miles  walks  fetch  playing with other household dogs,1.0
17476,iams,walking  short runs  plays ball  soft frisbee,1.0
17472,iams,walking,0.0
17472,imas,walking,0.0
17472,iams chicken and rice,walking,0.0
17468,low res,walk and play ball,0.0
17468,eucanuba lamb and rice puppy,walk,0.0
17468,eukanuba lamb and rice,walking and playing with dog toys  balls,0.0
17467,iams,walking fetch,1.0
17467,pedigree,walk  run  fetch ,1.0
17467,ian s,walks  fetch,1.0
17466,iams puppy chow,running walking playing,0.0
17466,iams lamb & rice,walks & plays with dogs,0.0
17448,iams,play with ball  walk  tug,0.0
17448,iams lamb meal and rice,walks  playing ball,0.0
17448,wellness adult,playing in fenced backyard  tugging w raiser  long walks hikes  playing ball fetch ,0.0
17444,iams,we walk and play with him ,0.0
17444,iams lamb and rice,walking playing,0.0
17444,iams smart puppy,walking  playing on long line  fetch,0.0
17440,iams,daily inside house play and brief walks   x week vigorous outdoor play,0.0
17440,iams,walking running,0.0
17427,isms,walks playing with other dogs,0.0
17427,iams,walking  playing trips out and about,0.0
17427,iams,play time outside running and   walks,0.0
17414,iams,long line walk or play,1.0
17414,iams,long line walk or play,1.0
17414,iams,walking,1.0
17404,iams lamb and rice,fetch running hiking  walking,0.0
17404,eukanuba,walking  ball fetching  running,0.0
17404,low residue from vet,running  walking  fetch  running up and down steps,0.0
17403,iams lamb & rice,weather permitting       walks daily plus inside playtime,1.0
17403,iams puppy,daily walks  town excursions  indoor play,1.0
17403,iams adult  lamb & rice ,daily walks  town excursions  indoor play,1.0
17401,iams rice and lamb,walking,0.0
17401,imams puppy chow,walks     times a day,0.0
17397,iams proactive healthy puppy,walks and active play in the house,0.0
17382,eukanuba sensitive digestion and purina one puppy,yard play  chasing balls,1.0
17382,purina one smart blend,running  walking  playing,1.0
17382,purina one,retrieving  walking,1.0
17343,iams,pup play walk,1.0
17343,iams,walks or playing,1.0
17343,iams,walking  playing fetch  pup play,1.0
17342,science diet,take walks  play catch with toys  and with other dogs,1.0
17342,science diet,short walks  play with humans and other dogs,1.0
17341,max nutro,walking  running  fetch  in house play,0.0
17341,nutro natural choice adult dog food,ball playing  walking  running  fetch ,0.0
17338,nutro,walks,1.0
17338,nuturo,playing with toys  walking  fetch,1.0
17338,nutro,walks  fetch,1.0
17334,iams adult,daily walks,0.0
17334,prescription id,walking  playing with toys,0.0
17334,iams adult,walks daily and hiking,0.0
17329,iams mini chunks,walking,1.0
17329,iams proactive health adult large breed,walks        playing tug,1.0
17328,iams,play  with other dogs or people   walks,0.0
17288,iam s smart puppy   iam s low residue transition,walks  fetch w balls,0.0
17288,purina one sensitive system salmon & rice,    mile walks  play  off leash running in approved areas,0.0
17276,orijen,walks and fetch with a ball  this way in the park,1.0
17276,orijen,walking for     miles daily  playing  running in fenced in yard,1.0
17273,purina benefil,running  playing  training,1.0
17273,purinia puppy chow,running playing,1.0
17273,beneful transfering over to eagle pack,walking  fetching  tug of war,1.0
17269,iams puppy,fetch  walking,1.0
17269,purina dog chow  green bag ,          mile walks  frisbee  ball  outdoor play with other dogs,1.0
17269,iams lamb & rice,walking     miles day both outside or at the mall  ball playing,1.0
17269,purina dog chow,walking         miles  ball & fetch,1.0
17268,signature,walks plays ball plays with other dogs,0.0
17268,zigniture,hikes  walks playing in the yard  outings,0.0
17268,zigniture,walks plays with ball goes to agway ect,0.0
17262,iams puppy food,running on a log line in the field  fetch  walks,0.0
17262,iams adult large breed,walks  playing with toys,0.0
17262,purina pro plan,chasing toys  fetch  short walks,0.0
17257,iams,walking & playing,1.0
17257,iams chicken,walking & backyard play,1.0
17257,iams puppy,daily walks  backyard play,1.0
17255,iams large breed adult,walks  tug games  fetch,0.0
17255,iams smart puppy large breed,walks  exploring,0.0
17255,iam s large breed adult,play  on leash walking,0.0
17252,iams,dog walks  play,1.0
17252,iams,walk twice per day,1.0
17252,iams,walks swim play,1.0
17249,iams,playing with other family dog  running  walks  games such as  come ,1.0
17249,iams,running  fetch,1.0
17249,iams,running with other dogs  longs walks  fetch,1.0
17243,iams,walk  run,0.0
17243,iams,runs in park  long walks,0.0
17243,iams,walking  running,0.0
17242,the blue buffalo co  chicken brown rice,  mile walk daily play outside and inside,1.0
17242,blue buffalo natural chicken & brown rice,  mile walk each day playing all day with us and our other dog,1.0
17242,blue buffalo adult chicken and brown rice,walking playing in yard,1.0
17233,iams lamb and rice,walks  chases ball  plays fetch  swimming when available,0.0
17233,iams,walks  fetch  swimming,0.0
17233,iams lamb & rice,walking  fetch  tug of war,0.0
17233,iams,walks  chases ball  outside ,0.0
17228,iams smart puppy,fetch  tug of war  walks,0.0
17228,iams smart puppy,play yard  walks  tug of war   ,0.0
17227,iams lamb & rice,walks  runs  playing in yard,1.0
17227,iaams,walks  runs in backyard  training in and outside,1.0
17227,iams puppy,loves to chase football in yard  long walks,1.0
17216,iams,walks,1.0
17216,iams,playing ball,1.0
17205,iams lamb and rice,walking,0.0
17205,iams lamb and rice,walking,0.0
17205,iams lamb and rice,walking  ball  tug  has a lot of energy,0.0
17196,iams lamb and rice adult,walking  fetching  running in tennis courts,1.0
17196,iams lamb and rice adult,walking  running in tennis courts  fetching,1.0
17087,iams puppy,walk  retreive,0.0
17087,ians lamb & chicken,walks  fetch  frisbee catch  swimming,0.0
17087,iams lamb chicken  +,    mi walk  day   chasing ball frisbee,0.0
17082,iams puppy,playing in house and walking,0.0
17082,iams lamb rice,walking and playing,0.0
17082,iams lamb,walking outside  playing fetch inside and out  playing with other dogs my son s and some therapy dogs near my house ,0.0
17060,iams puppy,daily walks and playtime,0.0
17060,iams,walking  fetch,0.0
17060,  health,primarily walking hiking  also dog play fetch frisbee,0.0
17053,iams puppy chow,walks  plays in the yard,1.0
17053,iams,walk and plays in pool  creek  and backyard,1.0
17053,iams,walks at least  x daily,1.0
17052,iams smart puppy,walking  tug and fetch,1.0
17052,iams puppy large breed,walk and fetch,1.0
17052,iams lamb and rice,walk and fetch,1.0
17052,iams puppy,walk  fetch  play with other dog,1.0
17045,natural balance duck and potato,walking     miles  playing fetch,0.0
17040,iams,walk around block  play in snow  play dates,1.0
17040,iams,walks,1.0
17040,iam s puppy chow,walks  fetch in house and tennis court,1.0
17040,iams lamb and rice,walking  playing,1.0
17040,iams lamb and rice,walking  playing,1.0
17037,iams,running  walking  playing,1.0
17037,iams,chase retrieve balls and toys  runs,1.0
17037,iams,fetch  run with other dogs,1.0
17028,iams,walking  running,1.0
17028,iams puppy,daily walks,1.0
17028,iams,walking  playing,1.0
17006,iams puppy food and chicken rice,play and walks  x a day,0.0
17006,natural balance,walks and runs around and plays,0.0
17006,natural balance,all kinds  play walking exposure a small amount of swimming wading up to elbows,0.0
16994,blue buffalo salmon & sweet potato,walks  plays fetch  plays with our other dog jolee,0.0
16994,blue buffalo puppy,walking  fetch  playing with our dog jolee,0.0
16994,blue buffalo salmon,walking  fetch  playing with our released guide,0.0
16990,purina,run or walk  and playing,0.0
16990,iams,walks  plays  runs  chases balls  hikes,0.0
16990,iams,hiking  ball chasing  walks  runs  swims ,0.0
16985,iams,walks  playing with other dog,0.0
16983,iams adult lamb & rice,walks  playing running in fenced yard,1.0
16983,iams adult lamb & rice,walks and running while playing ball,1.0
16983,eukunuba venison and potato,walks  playing running in fenced yard,1.0
16979,purina sensitive skin canidae grain free,   minute walk     daily  running  walking  playing in large enclosed field     daily,0.0
16979,purina sensitive skin and stomach,   minute walk daily and playing in   acre field,0.0
16977,iams puppy chow,long leash chasing ball  swimming  long walks  playing with other dogs puppies,0.0
16960,purina proplan,walking  running  ball playing,0.0
16960,iams,walking  playing  fetching etc  ,0.0
16952,purina puppy chow,training  playing  retrieving  playing in water  walking,0.0
16952,puppy chow,playing  walking,0.0
16952,iams natural chicken,walks  runs in backyard  hiking  swimming,0.0
16952,switching to iams lamb and rice,hike  walks  swim,0.0
16948,fromm,walks  fetch  tug  etc,0.0
16948,iams adult lamb & rice,fetch & walks,0.0
16942,iams puppy chow  switching to iams lamb & rice,running fetching in yard several times a day and shorts walks most days,1.0
16942,iams lamb & rice,walking   running   fetching   hiking,1.0
16942,iams   naturals   lamb & rice,running in yard  walks  brief playtime with neighborhood dogs in enclosed area  outings,1.0
16936,eukanuba,walking  fetch  soccer  kiddie pool  toys and ice  family dog,0.0
16936,eukanuba adult dog food,ball and walking,0.0
16936,eukanuba,long leash walks in field or woods to relax and sniff  short leash walks  fetch and follow me in fenced area  play with family dog  kong or bone chewing ,0.0
16932,iams,swim  frisbee  balls,0.0
16932,iams adult mini chunks,long walks  frisbee  fetch,0.0
16932,iams mini chunks,long walks  fetch with ball and frisbee,0.0
16932,iams mini chunks,long walks  fetch with ball and frisbee,0.0
16932,iams,swim  frisbee  balls,0.0
16929,purina puppy chow,running  playing  swimming,1.0
16929,purina,running  chasing balls  playing with toys,1.0
16929,purina beneful,running  playing  long walks and hikes  swimming when warm,1.0
16927,purina one,running  tug  fetch  chase,0.0
16927,iams,walks  plays with other dogs  fetch,0.0
16927,purina,tug  fetch  walks  run with other dogs,0.0
16921,purina proplan large breed puppy,walking  playing fetch  take it ,0.0
16921,purina proplan,play  walks,0.0
16921,purina pro plan large breed,fetch  playing with other dogs  walking,0.0
16921,purina pro plan,walking  fetch  playing with other dogs,0.0
16921,purina pro plan,fetch  playing with other dogs  walking,0.0
16918,iams puppy,walks and fetch,1.0
16918,iams,walks  runs  loves to play fetch with balls,1.0
16918,iams puppy,walks and fetch,1.0
16918,iams,walking  playing fetch,1.0
16909,purina puppy chow,walking  fetch  swimming,0.0
16909,iams,walks fetch  playing with other dog,0.0
16908,iams lamb & rice,playtime  walks,0.0
16908,iams,walks  play  fetch  with a toy  with another dog  in the kiddie pool ,0.0
16907,iams smart choice puppy,walking  chasing ball,1.0
16907,iams lamb and rice,walks  puppy play with my dog,1.0
16904,iams,walks  play  fetch ,0.0
16904,iams adult,walking,0.0
16904,iams,walking,0.0
16880,iams lamb and rice,walking     mile per day   play time with  family puppy fenced area back yard,0.0
16880,purinia one puppy chow lamb and rice,supervised runs in fenced in pool area  plays fetch  nightly walks ,0.0
16880,royal canin for labs,  mile walk long or short lead & half hour run,0.0
16879,iams,walk,0.0
16879,iams mini chunks,walk,0.0
16877,nutro sensitive skin & stomach   venison & oatmeal,walking  running  playing with household pets,0.0
16876,iams puppy,lots of play   both inside and outside   large fenced in yard   we are outside a lot ,1.0
16876,iams,lots of time outside   fetching   playing in the yard   playing with my dog,1.0
16856,iams puppy,walking  playing fetch  swimming,0.0
16856,iams lamb & rice,walk  fetch  run,0.0
16856,iams lamb & rice,walk  fetch  run,0.0
16833,iams,walking  sometimes meeting with another raiser for play dates,0.0
16833,iams,walking  running after thrown toys,0.0
16833,purina pro plan large breed chicken,walking  ball  play with other dogs,0.0
16833,purina pro plan large breed chicken,walking  ball  play with other dogs,0.0
16833,purina pro plan large breed chicken,walking  ball  play with other dogs,0.0
16820,iams,walking  playing  swimming,1.0
16816,iams,walking and running,1.0
16816,members mark premium,walks  runs,1.0
16815,iams puppy,walk run,1.0
16815,iams pedigree,walking  running  frisbee,1.0
16815,iams,walking  fetch,1.0
16813,canine caviar,walking around neighborhood ball throwing in back yard,0.0
16813,canine caviar,walk on leash   miles day  fetches tennis ball in fenced back yard,0.0
16807,iams puppy lg breed,running  playing with balls  playing with cats,0.0
16804,iams puppy,walking playing  w macy,1.0
16804,iams lamb and rice,backyard play and walks,1.0
16790,wellness adult super mix,walks  play in yard  play dates  trying to get her to retrieve,0.0
16790,wellness adult super mix,walks  play in yard  play dates  trying to get her to retrieve,0.0
16790,wellness super mix,walks  occasional play,0.0
16785,iams red bag,walk and running,1.0
16785,iams,walks   times a day,1.0
16785,iams,walk  run  playdates,1.0
16775,iams,walk run dog play swim,1.0
16775,iams,play dates walk train run,1.0
16775,iams,walks  swims  playdates ,1.0
16772,iams puppychow,daily walks run  play time in apt,0.0
16772,iams,walking,0.0
16772,iams,walking and some play,0.0
16768,iams puppy chow  transitioning to adult food ,walking on a leash around the town  occasional play in a fenced in dog park  with no other dogs ,1.0
16768,iams lamb and rice adult food,walking on a leash around the town  occasional play in a fenced in dog park  with his friend scarlett or alone ,1.0
16768,iams adult lamb and rice,walking,1.0
16767,purina dog chow,walks swims when weather is warm enough  plays with family dog  toy play in yard in house,0.0
16767,purina puppy chow,name call ball fetch play with our dog work?,0.0
16767,purina puppy chow,fetch swimming playing with other raisers pups walks,0.0
16766,natural balance,walking,0.0
16766,natural balance,walking  playing  with pet dog  chasing balls and toys in the house,0.0
16766,iams,walking  play with our pet dog  occasional short running  playing with toys in the house,0.0
16760,iams,running  walking,0.0
16760,iams,walks  fetch  play follow me,0.0
16760,iams,walk  run  fetch,0.0
16745,iams,walks  ball playing  and play time,0.0
16745,iams,walks and play,0.0
16745,iams lb puppy,running  fetching toys  and walking,0.0
16742,iams,i would put her at a norma plus     needs a little more exercise than average pup,1.0
16742,iams low residue,ball playing   also plays with lynn   walks  playing with snake toy and rope toys   retrieving balls and other toys like that ,1.0
16742,iams adult mini chunks,walking  fetch  dog play,1.0
16742,iams adult,walks  ball play  dog play,1.0
16741,iams,walks  playing with toys  hide and seek  fetch  obstacle type course,0.0
16741,iams,back yard ball playing  walks every day  outings usually every day,0.0
16741,iams,walks  ball playing  wading pool,0.0
16740,orijen,play  running outdoors training,1.0
16740,purina one  blend chicken and rice,short spurts of run in neighborhood  high energy play with german step  friend,1.0
16740,iams lamb and rice,playing with kenneth    k     walking ,1.0
16740,iams lamb and rice,play on long lead  fetch   plays in house  nicely,1.0
16740,iams lamb and rice,playing ball  chasing toys  walking    short hikes,1.0
16733,iams,walking and playing,0.0
16733,iams,walking and playing,0.0
16733,iambs,walking and playing,0.0
16730,iams lamb and rice,walk  swm,0.0
16730,iams lamb and rice,walks,0.0
16726,iams mini chunks,fetch  short walks during the day  long walk in the evening,0.0
16719,iams lamb rice,walks  running fetch,0.0
16719,iams puppy,walk house play with & without older dog outside play on lead,0.0
16719,iams adult,walks  play fetch play inside,0.0
16716,iams,play in yard and in house,0.0
16716,purina pro plan   adult large breed,running in yard with other dogs  walking  playing,0.0
16716,purina pro plan,running in the yard  playing ball  etc ,0.0
16712,pinnacle,walk  fetch  house play,0.0
16712,taste of the wild,started a walk jog routine,0.0
16712,iams lamb and rice,daily walks and playing fetch,0.0
16703,iams smart puppy  large breed ,walking  tug o war  playing with family dog  and fetch,1.0
16703,iams,walk daily,1.0
16686,kirkland lamb and rice,daily walks  puppy playtime,1.0
16686,proplan large breed,walks and playing outside,1.0
16686,iams low residue,walks  neighborhood  park play fetch inside and out,1.0
16664,iams,running   walking,1.0
16664,iams lamb & rice,walking   running,1.0
16664,iams puppy chow,walk  run  swim,1.0
16659,purina one adult chicken and rice,walks  runs in yards or tennis courts and in house chasing toys,1.0
16659,iams puppy,running  fetching ball  playdates couple x wk,1.0
16659,purina one healthy weight,runs  loves ball chasing  walks  playing with other dogs,1.0
16649,iams,free play on fenced deck with   other dogs,1.0
16649,iams lamb and rice,walks  fetch  ball playing,1.0
16643,taste of the wild puppy,walks  frisbee  ball  other geb puppy play time,0.0
16643,taste of the wild,walks  ball  toys  swim,0.0
16641,prarie,walks and run through woods,0.0
16641,iams puppy,long walks  free runs in backyard,0.0
16639,kirtland premium adult food  high end store brand from costco  comparable to eukanuba ,walks  games in the yard  tennis courts  swimming,1.0
16639,iams smart puppy,walks  games with balls  toys,1.0
16639,kirtland premium adult food  high end store brand from costco  comparable to eukanuba ,walks  games in the yard  tennis courts  swimming,1.0
16639,kirtland premium adult food,walks  games in the yard & tennis courts  swimming,1.0
16637,beneful,walks  playing with our dogs  playing with balls or rope toys,1.0
16637,beneful,walks and plays with our other dogs,1.0
16637,iams puppy chow,walks and play with us and the our dogs ,1.0
16636,iams smart puppy,walkingon short leash chasing tennis ball on long  leash walking on long leash through the field,1.0
16636,iams,walking  running in field  chasing ball,1.0
16636,iams proactive health large breed,walks on long lead running in fenced in area  playing in the house,1.0
16635,iams,walks  playing with iola  long leash playing in yard,0.0
16635,iams lamb and rice,walking  running  fenced in area   fetching  playing with other dogs,0.0
16635,iams lamb and rice,walking  playing with other dogs  playing in kiddie pool  chasing ball in yard  playdates with other dogs,0.0
16624,iams adult,playing fetch    walks  hikes,0.0
16624,iams,chasing balls   long walks  hikes,0.0
16623,kirkland lamb and rice,walk  ball play,1.0
16623,innova puppy,walking  playing with other dogs  training,1.0
16623,kirkland lamb and rice,walk  ball chasing  swimming  running,1.0
16623,innova puppy,walking  playing with other dogs  training,1.0
16623,kirkland lamb and rice,walk  ball play,1.0
16610,iams lamb and rice,run  walk  play with other dogs,1.0
16608,iams adult,fetching ball,1.0
16608,iams puppy,running back yard catch,1.0
16604,iams puppy chow,fetch  walks  running,0.0
16601,iams puppy,walks in neighborhood  fetch in the house  playing with kids,0.0
16601,iams,walks and play with other dogs,0.0
16599,iams lamb and rice  red bag,runs free in enclosed yard area   to   times per day,0.0
16591,iams,fetch  walking trail hiking,1.0
16591,taste of the wild,running and hiking,1.0
16586,iams,average two walks per day  play in yard,1.0
16586,iams puppy,walk  play in yard,1.0
16586,iams,walking  playing in the backyard,1.0
16585,iams,walks  exposures  play with dog and human,1.0
16585,iams,daily exposures  walks  play with other dog,1.0
16585,iams,daily exposures  walks  play with other dog,1.0
16585,iams,walks  exposures  play with dog and human,1.0
16584,iams smart puppy,walks  x a day play sessions in home and parks,0.0
16584,iams,walks play dates play toys,0.0
16584,iams,walks play  running around,0.0
16583,purina dog chow,play ball  retrieve thrown toys  daily walk s,0.0
16533,science diet puppy,walking playing stair climbing,0.0
16533,science diet,walking long distances playing,0.0
16533,science diet little bites adult,walking  running,0.0
16528,iams,walks and puppy playing,1.0
16528,iams,lots of walks  sometimes plays with other dogs in a fenced area ,1.0
16528,iams smart puppy proactive health,walking and running and playing,1.0
16526,purina,walking & playing in the yard with kids & another dog,1.0
16526,purina,play in the yard with other dog & walks,1.0
16511,blue buffalo,walking about   miles a day,0.0
16511,iams,walks and inclosed no leash running,0.0
16511,blue buffalo,swimming  walking  running,0.0
16485,nutro lamb and rice,walking  playing with dog  working,1.0
16485,nutro lamb and rice,walks and playing with toys,1.0
16464,eukanuba lamb and rice for large breeds,walks  running around,0.0
16464,iams proactive puppy food for large breeds,walks and indoor fetch,0.0
16464,iams proactive lamb and rice,lots of walking and some running,0.0
16457,iams lamb and rice,walks  fetch  tug,1.0
16457,iam s lamb and rice,fetch in the apt  walks  playdates,1.0
16457,iams lamb and rice,walks  plays with liberty  fetch,1.0
16452,iams lamb and rice,daily walks  playtime,1.0
16452,natural choice,  walks at least per day  playing  training,1.0
16420,iams large breed adult,fetch  walk  playing with other dogs,0.0
16420,iams large breed adult,walk  fetch  playing with my other dogs,0.0
16420,iams puppy active large breed,training  walk  playing with my other dog,0.0
16416,purina one smartblend,loose leash walking  playing in fenced area,0.0
16416,purina one puppy,walking  running in back yard  playing with other dogs,0.0
16416,purina one,walking playing in the back yard  play dates,0.0
16413,iams adult,walks at least     miles a day  often more  plays in an enclosed area,1.0
16413,iams adult,walking  playing,1.0
16413,iams,walking  playing training,1.0
16406,eukanuba,walks and with my other dog,0.0
16406,euikinuba,walks everyday and play with my dog,0.0
16406,eukanuba,walks & plays with my dog,0.0
16403,iams lamb and rice  red bag ,daily morning walks  est    miles   play  then afternoon walk and play,1.0
16403,iams,daily walk  play  running,1.0
16402,iams,walks  play time with other dogs ,0.0
16402,iams,walk and play with other dogs,0.0
16402,iams pup,walks  fetch  play with other dogs,0.0
16400,iams lamb and rice,daily walks  outdoor fetch on long line  dog park  playdates in fenced yards,0.0
16400,iams lamb n rice,walk  many steps  plays ball,0.0
16399,iams,running  walking,1.0
16399,purina en  gastroenteric  low residue ,walking and playing,1.0
16358,iams,walking  running in yard,1.0
16358,iams,walking  playing  training,1.0
16358,iams,walks and runs,1.0
16356,iams,walks  stick throw run on long lead,0.0
16356,iams large puppy,playing in yard with toy,0.0
16356,iams,walks  playing in yard,0.0
16351,origin,walks and plays outside with my dog,0.0
16351,origin,plays in yard,0.0
16351,origin,walk,0.0
16327,eukanuba large breed puppy,walking  running  stairs,1.0
16327,eucanuba,walking running chasing toys ,1.0
16327,purina lamb and rice,wallking  running chasing balls,1.0
16313,iams pro active,walks  running in park,1.0
16313,iams pro active,walks  running in the park or in front yard,1.0
16313,iams lamb and rice,walks  running on    ft  lead running in park,1.0
16313,iams lamd and rice,walks  running on    foot leash  walks in park,1.0
16306,nutro natural choice,fetch  walks  playing with other dogs when possible,0.0
16306,nutro natural choice,fetch  walking,0.0
16306,iams,walking  fetch,0.0
16295,iams smart puppy,runs in backyard  chases balls  walks  plays with toys very energetically  trains actively,1.0
16295,iams large breed chunks,walking  playing with toys  fetch  playdates with dog friends,1.0
16295,iams adult large chunk,walking  ball fetching  frisbee fetching  playing with toys,1.0
16286,iams lamb and rice,running  fetch  long recalls  swimming  training sessions and exposures,1.0
16286,iams lamb and rice,running  walking  fetch  swimming  training and exposures,1.0
16286,iams lamb and rice,fetch  running  walks  training  swimming,1.0
16285,iams mini chunks,walking  playing fetch and playing with our released dog,0.0
16285,iams adult,wlaking  fetch  playing with our released dog,0.0
16284,iams puppy chow,play and running,1.0
16284,eukanuba,play  walks,1.0
16284,eukanuba,play and walks,1.0
16281,iams puppy food,fetch we brought a shallow dog pool she likes to play in when we are watching ,1.0
16281,iams adult food,talula gets structured puppy playtime and also is run twenty to thirty minutes every day,1.0
16281,iams adult lamb and rice,walking  playing with other dog,1.0
16281,iams,walking  swimming  fetching,1.0
16280,iams,walks  ball play  play with other family dogs,0.0
16280,iams,walks  runs  plays with our other dogs,0.0
16280,iams lamb and rice,play w  other dogs  walks  fetch,0.0
16266,iaams,plays on long line and i jog with her,1.0
16266,iams,walks  play  runs,1.0
16266,iams,plays on her long line and goes on walks,1.0
16252,iam s,walks and fetching,1.0
16252,iams puppy,walks  running in yard  playing with dog,1.0
16252,iams,walks  plays catch with ball frisbee,1.0
16252,iams,walks  playing catch with ball frisbee,1.0
16250,purina one,walks    miles a  x a week  runs in field daily,1.0
16250,purina one,play in fenced yard  walking in field and neighborhood,1.0
16248,taste of the wild high prairie,walks  runs and trail rides,0.0
16248,taste of the wild high prairie,walks  runs and trail rides,0.0
16246,iams lamb and rice,walking  running  playing with other dogs  fetch  tug,0.0
16246,iams puppy,walking  playing  running  playing with other dogs,0.0
16246,iams lamb and rice,walking  outings  playing with other dogs  fetch and tug of war,0.0
16245,iams lamb and rice,running and playing fetch with her toys,1.0
16245,iams,walks  fetch,1.0
16245,iams lamb and rice,running around in the back yard  and  fetch ,1.0
16242,iams,walking  playing in enclosed yard,0.0
16242,iams,walks in neighborhood  runs in backyard,0.0
16242,iams,two daily walks  leash free play in yard,0.0
16237,iams adult lamb and rice,walks  ball frizbee chasing,1.0
16237,iams adult lamb & rice,walks  fetch,1.0
16237,iams rice & lamb,walks  fetch ,1.0
16236,iams puppy,walks  playing with other dog,1.0
16236,iams green,walks  fetch,1.0
16236,iams green,walking  fetching  running,1.0
16236,iams lamb and rice,playing w newton and me,1.0
16236,iams lamb and rice,walking  playing in yard and garage ,1.0
16228,iams, luna is walked  x a day i also put her on a long leash and take her outside once a day to run play bring back a toy,0.0
16228,iams puppy for large breeds,    min walks a day playing in yard with   other dogs going to playground across street playing with toys that take interaction,0.0
16228,iams rice and lamb,walking running fetching chasing soccer balls,0.0
16227,iams large breed,walks  plays outside  fetch,0.0
16227,iams large breed,fetch  walks  plays outside,0.0
16227,iams large breed,plays in backyard  walks and socialization,0.0
16223,iams lamb and rice,  mile in the morning and evening,0.0
16221,iams smart puppy,fetch  walking and playing in fenced yard,1.0
16221,iams lamb and rice,walks runs in fenced yard  fetch,1.0
16220,iams,three walks daily        min  each time     actively plays with toys and her favorite puppy friend  stella  absolutely loves that !,0.0
16220,iams puppy,three walks daily & actively playing with toys,0.0
16220,iams,usually   walks daily,0.0
16220,iams,usually   walks daily,0.0
16218,iams,walks  plays in yard with raiser  plays with other dog,0.0
16218,iams puppy,playing with other dogs  walks  playing with toys,0.0
16216,iams,walks  x a day  play time in yard or puppy play date,0.0
16216,iams proactive health large breed,fenced back yard  walks in neighborhood  outings  in house play,0.0
16216,purina dog chow,walking  and running around the back yard,0.0
16206,iams,walking,1.0
16206,iams,walk and slow jog,1.0
16206,iams smart puppy,walking,1.0
16204,iams lamb meal and rice,leash walking  practice lessons  play with toys,0.0
16204,iams lamb meal and rice,daily jogging and walking,0.0
16204,iams lamb meal & rice,daily jogging and walking,0.0
16203,canidae,walking running playing,1.0
16203,canidae,walks playing with family dog running,1.0
16202,innova,walking  playing,1.0
16202,candidade,walking and playing,1.0
16202,sdfa,walking and running   lots of tug time,1.0
16192,iams,walks  tug games  stick toss  romps with resident pets,1.0
16192,iams,walks  tug games  stick toss  romps with resident pets,1.0
16192,iams puppy,walks  fetch and tug mainly ,1.0
16188,purina,walk  x to  x day,0.0
16188,iams,  morning walk   approx   miles,0.0
16188,purina proplan,fast walk,0.0
16174,iams lamb and rice,running  walking  free play  doggie games  socialization outings,1.0
16174,iams lamb and rice,walking  free play  hide and seek with raiser for mental stimulation,1.0
16174,iams proactive health smart puppy original,walks  free play,1.0
16171,iams lamb & rice,walking  playing with other dogs,1.0
16171,iams   trans from low res to chicken naturals,walking  playing with other dogs,1.0
16171,iams smart puppy,walking  playing with other dogs,1.0
16166,iams lamb & rice formul,long walks  fetch  stay   recalls  tug of war,0.0
16166,iams lamb & rice,walking  retrieving  swimming  warm weather ,0.0
16166,iams lamb & rice,walking  fetching balls  tug of war  etc,0.0
16159,iam s adult,   running in yard with other dog    going on walks,0.0
16134,iams,walks and play,1.0
16134,iams,walks and play,1.0
16124,iams,daily     mile run      short walks after that,1.0
16124,iams,walking  running,1.0
16106,iams smart puppy,walking  running,1.0
16106,iams large breed proactive health,running outside  going on walks around the neighborhood and stores,1.0
16106,iams smart puppy,walking and playing in yard,1.0
16092,science diet,she goes on long walks daily      times  and plays with toys and balls in the yard ,0.0
16092,high res iams smart puppy,runs in the enclosed yard  walks daily ,0.0
16091,bland diet   potatoes & chicken,walking,0.0
16091,iams vet formula   intestinal plus + pumpkin,walking,0.0
16088,iams adult dog food,walks,1.0
16088,iams,walks and fetch,1.0
16088,iams puppy chow,walks  playing with neighbor s dog,1.0
16087,iams smart puppy,walks and play with my other dog,0.0
16087,iams adult lamb and rice,walk,0.0
16087,iams smart puppy,walks and runs,0.0
16085,i am + natual balance,fast paced walk and or playing fetch,0.0
16085,i ams + natual balance,walking  run & playing fetch,0.0
16084,transitioning from fromm large breed adult to iams lamb and rice,walks  sprints  fetch ,1.0
16084,fromm large breed puppy,play  fetch  walks  dog socialization play dates,1.0
16084,fromm large breed adult,daily walks  between         miles  play with a large variety other dogs     x per week  play with people  daily ,1.0
16083,iams,walks  + miles  chases ball,1.0
16082,iams,walks and fenced yard  play,1.0
16082,iams,fenced back yard and walks,1.0
16082,iams,daily walk and fenced yard play,1.0
16081,iams puppy,walking to class  playing with dog friends  playing with toys,0.0
16081,iams adult,walks  outings  running in yard with other dogs,0.0
16081,iams,playing with other dogs  going for walks  playing with toys,0.0
16075,iams lamb and rice,walking  fetching  swimming,1.0
16068,pedigree adult,walking running,1.0
16068,pedigree,walking  running  playing,1.0
16068,iams & low residue,walks playing w  people & other dogs or puppies,1.0
16065,iams large breed kibble,swimming  when possible   running  fetching,1.0
16065,iam s proactive health,brisk walks  chasing ball off leash most evenings,1.0
16053,iams,playdate s with other dogs  walks after eating  play time with us  swimming on weekends,0.0
16053,blue bufalo,walks  chase ball,0.0
16053,instinct,walking going into city brain games,0.0
16053,instinct,walking going into city brain games,0.0
